employee_id,country,year,performance_score
ANON_75X73X48X48X48X48X48X48X55X53X53X,France,2023,3
ANON_75X73X48X48X48X48X48X48X56X56X52X,France,2023,4
ANON_75X75X48X48X48X48X48X48X52X53X50X,France,2023,3
ANON_75X75X48X48X48X48X48X48X53X55X57X,France,2023,3
ANON_75X75X48X48X48X48X48X48X54X55X52X,France,2023,4
ANON_75X75X48X48X48X48X48X48X55X51X49X,France,2023,4
ANON_75X75X48X48X48X48X48X48X55X54X54X,France,2023,2
ANON_75X76X48X48X48X48X57X51X49X55X52X,France,2023,3
ANON_75X76X48X48X48X49X54X55X52X48X57X,France,2023,4
ANON_75X76X48X48X48X49X55X48X51X53X55X,France,2023,4
ANON_75X76X48X48X48X51X49X52X51X57X49X,France,2023,3
ANON_75X76X48X48X48X51X49X54X51X57X51X,France,2023,4
ANON_75X76X48X48X48X51X49X56X57X53X54X,France,2023,4
ANON_75X76X48X48X48X51X51X51X52X53X52X,France,2023,4
ANON_75X76X48X48X48X51X52X48X48X48X48X,France,2023,4
ANON_75X76X48X48X48X51X55X52X49X49X48X,France,2023,3
ANON_75X76X48X48X48X51X56X51X51X53X48X,France,2023,3
ANON_75X76X48X48X48X52X48X54X50X49X57X,France,2023,3
ANON_75X76X48X48X48X52X50X51X49X55X48X,France,2023,4
ANON_75X76X48X48X48X52X50X55X49X55X52X,France,2023,4
ANON_75X76X48X48X48X52X51X51X50X51X53X,France,2023,3
ANON_75X76X48X48X48X52X53X52X52X51X50X,France,2023,4
ANON_75X76X48X48X48X52X54X55X54X49X48X,France,2023,3
ANON_75X76X48X48X48X52X55X53X51X55X54X,France,2023,3
ANON_75X77X48X48X48X52X53X55X52X49X51X,France,2023,3
ANON_75X81X48X48X48X50X53X53X48X53X55X,France,2023,4
ANON_75X81X48X48X48X50X55X48X55X53X52X,France,2023,3
ANON_75X83X48X48X48X48X49X48X56X55X53X,France,2023,3
ANON_75X83X48X48X48X52X48X48X48X49X49X,France,2023,4
ANON_75X83X48X48X48X52X48X48X49X51X52X,France,2023,4
ANON_75X83X48X48X48X52X48X49X57X55X53X,France,2023,4
ANON_75X83X48X48X48X52X48X50X56X51X48X,France,2023,3
ANON_75X83X48X48X48X52X48X55X51X48X54X,France,2023,3
ANON_75X83X48X48X48X53X48X48X48X48X51X,France,2023,4
ANON_75X83X48X48X48X53X48X48X48X53X55X,France,2023,4
ANON_75X83X48X48X48X53X48X48X48X53X57X,France,2023,3
ANON_75X85X48X48X48X48X57X51X55X49X53X,France,2023,4
ANON_75X88X48X48X48X48X50X54X57X56X52X,France,2023,3
ANON_75X88X48X48X48X48X50X55X56X55X55X,France,2023,4
ANON_75X88X48X48X48X48X50X57X48X57X54X,France,2023,3
ANON_75X88X48X48X57X49X49X51X54X50X50X,France,2023,3
ANON_75X88X48X48X57X49X49X53X51X49X56X,France,2023,4
ANON_75X88X48X48X57X49X49X53X57X54X54X,France,2023,3
ANON_75X88X48X48X57X49X50X50X52X55X51X,France,2023,3
ANON_75X88X48X48X57X49X53X53X48X57X52X,France,2023,3
ANON_76X54X48X48X56X55X54X54X55X55X49X,France,2023,4
ANON_76X54X48X48X56X55X54X54X56X57X49X,France,2023,4
ANON_76X54X48X48X56X55X54X56X51X48X49X,France,2023,3
ANON_76X65X48X48X48X49X48X48X57X56X54X,France,2023,3
ANON_76X65X48X48X48X49X48X49X49X48X51X,France,2023,3
ANON_76X65X48X48X48X49X48X49X57X50X52X,France,2023,4
ANON_76X65X48X48X57X49X49X54X51X54X49X,France,2023,3
ANON_76X65X48X48X57X49X49X55X54X52X51X,France,2023,4
ANON_76X65X48X48X57X49X49X56X50X51X51X,France,2023,4
ANON_76X65X48X48X57X49X50X48X52X56X48X,France,2023,3
ANON_76X65X48X48X57X49X50X57X57X48X55X,France,2023,2
ANON_76X76X48X48X57X49X49X54X49X53X48X,France,2023,2
ANON_76X77X48X48X57X49X49X49X57X54X56X,France,2023,3
ANON_76X90X48X48X48X48X48X50X56X51X57X,France,2023,3
ANON_76X90X48X48X48X48X48X54X53X48X48X,France,2023,4
ANON_76X90X48X48X48X48X48X55X55X55X51X,France,2023,3
ANON_76X90X48X48X48X48X48X56X50X53X56X,France,2023,4
ANON_76X90X48X48X48X48X48X57X52X53X56X,France,2023,3
ANON_76X90X48X48X48X48X49X48X48X48X49X,France,2023,3
ANON_76X90X48X48X48X48X49X48X48X48X53X,France,2023,3
ANON_76X90X48X48X48X48X49X48X48X49X49X,France,2023,3
ANON_76X90X48X48X48X48X49X48X48X49X53X,France,2023,3
ANON_76X90X48X48X48X48X49X48X48X49X54X,France,2023,4
