employee_id,absence_days,absence_events,main_group
ANON_68X49X48X48X48X48X70X54X57X52X52X,39.0,50,Congés
ANON_68X49X48X48X48X48X70X55X54X50X57X,33.0,42,Congés
ANON_68X49X48X48X48X48X70X55X57X56X57X,42.0,49,Congés
ANON_68X49X48X48X48X48X70X56X53X54X51X,32.0,43,Congés
ANON_68X49X48X48X48X48X70X65X48X55X55X,33.0,40,Congés
ANON_68X49X48X48X48X48X70X65X51X57X51X,29.5,38,Congés
ANON_68X49X48X48X48X48X70X67X51X54X54X,123.0,273,Absences non suivi
ANON_68X49X48X48X48X48X70X67X55X55X56X,37.0,45,Congés
ANON_68X49X48X48X48X48X70X67X56X57X56X,112.5,176,Absences non suivi
ANON_68X49X48X48X48X48X70X67X57X53X53X,43.0,62,Légal / Conventionnel Autre
ANON_68X49X48X48X48X48X70X69X48X49X54X,31.0,31,Congés
ANON_68X49X48X48X48X48X70X69X49X53X55X,35.0,50,Congés
ANON_68X49X48X48X48X48X70X69X49X54X55X,34.0,44,Congés
ANON_68X49X48X48X48X48X70X69X50X51X56X,34.5,43,Congés
ANON_68X49X48X48X48X48X70X69X51X57X50X,35.5,40,Congés
ANON_68X49X48X48X48X48X70X69X52X57X52X,80.0,112,Congés
ANON_68X49X48X48X48X48X70X69X53X48X57X,49.0,66,Congés
ANON_68X49X48X48X48X48X70X69X53X49X48X,36.0,40,Congés
ANON_68X49X48X48X48X48X70X69X53X49X53X,36.0,44,Congés
ANON_68X49X48X48X48X48X70X69X53X49X56X,41.0,51,Congés
ANON_68X49X48X48X48X48X70X69X53X50X48X,81.5,113,Maladie
ANON_68X49X48X48X48X48X70X69X53X50X56X,29.0,33,Congés
ANON_68X49X48X48X48X48X70X69X53X51X50X,45.0,57,Congés
ANON_68X49X48X48X48X48X70X69X53X51X57X,34.0,36,Congés
ANON_68X49X48X48X48X48X70X69X53X52X52X,41.0,53,Congés
ANON_68X49X48X48X48X48X70X69X53X55X53X,30.0,39,Congés
ANON_68X49X48X48X48X48X70X70X48X53X50X,58.0,74,Congés
ANON_68X49X48X48X48X48X70X70X52X56X50X,35.0,42,Congés
ANON_68X49X48X48X48X48X70X70X53X52X55X,22.0,31,Congés
ANON_68X49X48X48X48X48X70X70X54X57X55X,142.0,344,Maladie
ANON_68X49X48X48X48X48X70X70X57X52X55X,50.0,66,Congés
ANON_68X49X48X48X48X48X70X71X49X55X54X,38.5,44,Congés
ANON_68X49X48X48X48X48X70X71X50X50X55X,49.0,65,Congés
ANON_68X49X48X48X48X48X70X71X54X50X54X,55.5,70,Congés
ANON_68X49X48X48X48X48X70X71X55X49X52X,59.5,76,Congés
ANON_68X49X48X48X48X48X70X71X55X49X57X,44.5,55,Congés
ANON_68X49X48X48X48X48X70X72X48X54X57X,37.5,45,Congés
ANON_68X49X48X48X48X48X70X72X49X53X51X,32.5,43,Congés
ANON_68X49X48X48X48X48X70X72X50X55X57X,118.5,326,Légal / Conventionnel Autre
ANON_68X49X48X48X48X48X70X72X51X48X52X,40.0,56,Congés
ANON_68X49X48X48X48X48X70X72X53X49X51X,44.0,54,Congés
ANON_68X49X48X48X48X48X70X72X54X51X57X,177.5,405,Maladie
ANON_68X49X48X48X48X48X70X73X50X56X53X,39.0,47,Congés
ANON_68X49X48X48X48X48X70X73X53X48X54X,32.5,37,Congés
ANON_68X49X48X48X48X48X70X73X54X57X52X,53.0,75,Congés
ANON_68X49X48X48X48X48X70X73X54X57X54X,38.0,47,Congés
ANON_68X49X48X48X48X48X70X73X55X52X53X,44.5,56,Congés
ANON_68X49X48X48X48X48X70X73X55X55X56X,39.0,50,Congés
ANON_68X49X48X48X48X48X70X73X56X54X55X,38.5,54,Congés
ANON_68X49X48X48X48X48X70X74X50X50X53X,41.0,44,Congés
ANON_68X49X48X48X48X48X70X74X54X56X52X,36.0,50,Congés
