employee_id,country,performance_score
ANON_67X57X48X48X48X48X69X50X55X53X55X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X55X57X53X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X56X49X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X56X49X53X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X56X52X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X56X55X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X56X56X56X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X57X48X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X57X51X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X57X55X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X57X57X56X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X51X48X57X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X52X48X49X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X52X52X48X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X52X53X49X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X52X53X49X53X,Luxembourg,5.0
ANON_67X57X48X48X48X48X69X52X55X54X53X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X52X55X57X48X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X52X56X57X57X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X48X55X48X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X48X55X51X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X48X56X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X48X57X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X49X54X49X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X49X54X57X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X49X55X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X49X57X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X50X57X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X51X49X52X,Luxembourg,2.0
ANON_67X57X48X48X48X48X69X53X51X49X57X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X51X53X48X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X51X53X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X51X54X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X51X55X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X51X55X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X51X55X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X51X57X51X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X51X57X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X53X51X54X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X53X55X50X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X53X56X49X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X53X56X53X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X53X56X55X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X53X54X48X53X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X55X49X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X53X55X49X52X,Luxembourg,4.0
